A new study created in RDB with name: XGBRegressor_19256
Trial 11 finished with value: 0.07443795994089411 and parameters: {'max_depth': 1, 'min_child_weight': 3, 'gamma': 0.1908344179144159, 'subsample': 0.5373264795338532, 'colsample_bytree': 0.1878905835814385, 'learning_rate': 0.3885907841050964, 'reg_alpha': 0.04505663257400045, 'reg_lambda': 9.907070951085458}. Best is trial 11 with value: 0.07443795994089411.
Trial 767 finished with value: 0.799429125094965 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.17605618930133393, 'subsample': 0.6488118205428308, 'colsample_bytree': 0.3199151512432242, 'learning_rate': 0.22834599960705526, 'reg_alpha': 7.164175129107206, 'reg_lambda': 2.0472170195468458}. Best is trial 715 with value: 0.9377859576434285.
Trial 764 finished with value: -6.105720685683423e+23 and parameters: {'max_depth': 8, 'min_child_weight': 1, 'gamma': 0.11459401841107142, 'subsample': 0.057353914479837176, 'colsample_bytree': 0.7366105503436041, 'learning_rate': 0.5793623539878408, 'reg_alpha': 1.7380706146258371, 'reg_lambda': 0.005737450140838012}. Best is trial 715 with value: 0.9377859576434285.
Trial 790 finished with value: -46.34674264153644 and parameters: {'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.2357910372029458, 'subsample': 0.0020258099873446955, 'colsample_bytree': 0.6570578508413196, 'learning_rate': 0.07489020275916736, 'reg_alpha': 0.0034755160648244935, 'reg_lambda': 0.00018526876819197408}. Best is trial 715 with value: 0.9377859576434285.
Trial 760 finished with value: -0.051914246793398455 and parameters: {'max_depth': 10, 'min_child_weight': 2, 'gamma': 0.6823297236220566, 'subsample': 0.27899994204349443, 'colsample_bytree': 0.313734667348296, 'learning_rate': 0.6273347676320383, 'reg_alpha': 0.006842429762157369, 'reg_lambda': 0.0008340321435906415}. Best is trial 715 with value: 0.9377859576434285.
Trial 769 finished with value: 0.1463109653163704 and parameters: {'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.32519183131927276, 'subsample': 0.27767487931531865, 'colsample_bytree': 0.4519160546736728, 'learning_rate': 0.5846478135122404, 'reg_alpha': 0.0007225241172694635, 'reg_lambda': 0.00010990115878730365}. Best is trial 715 with value: 0.9377859576434285.
Trial 781 finished with value: 0.4212213704582974 and parameters: {'max_depth': 4, 'min_child_weight': 1, 'gamma': 0.9379879163726197, 'subsample': 0.5909466467344876, 'colsample_bytree': 0.27081225628269334, 'learning_rate': 0.9716504395597855, 'reg_alpha': 0.01070635462661707, 'reg_lambda': 0.001277731388028359}. Best is trial 715 with value: 0.9377859576434285.
Trial 770 finished with value: 0.5616423215294201 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.06570469313804073, 'subsample': 0.30352264763545933, 'colsample_bytree': 0.23583144044065463, 'learning_rate': 0.4850484667997914, 'reg_alpha': 0.0003449905707721657, 'reg_lambda': 0.000511979983051999}. Best is trial 715 with value: 0.9377859576434285.
Trial 772 finished with value: 0.7818283081300318 and parameters: {'max_depth': 8, 'min_child_weight': 4, 'gamma': 0.6555173076601933, 'subsample': 0.27582440523306206, 'colsample_bytree': 0.9202779392886139, 'learning_rate': 0.19561814052225024, 'reg_alpha': 5.917899855526954, 'reg_lambda': 0.0014197907143811519}. Best is trial 715 with value: 0.9377859576434285.
Trial 794 finished with value: -0.003784099321814205 and parameters: {'max_depth': 10, 'min_child_weight': 3, 'gamma': 0.6617921659611389, 'subsample': 0.021859532193112874, 'colsample_bytree': 0.13548196330871887, 'learning_rate': 0.14621288952573297, 'reg_alpha': 0.6300053509373437, 'reg_lambda': 0.22206758151278377}. Best is trial 715 with value: 0.9377859576434285.
Trial 763 finished with value: 0.8824211332245424 and parameters: {'max_depth': 10, 'min_child_weight': 3, 'gamma': 0.7305554970688583, 'subsample': 0.5946612502750023, 'colsample_bytree': 0.4725456930762322, 'learning_rate': 0.710620298019019, 'reg_alpha': 0.369195482969798, 'reg_lambda': 0.00014591562052885827}. Best is trial 715 with value: 0.9377859576434285.
Trial 741 finished with value: 0.9031013338849314 and parameters: {'max_depth': 10, 'min_child_weight': 1, 'gamma': 0.40632976791089526, 'subsample': 0.6366005042822, 'colsample_bytree': 0.9087921952586304, 'learning_rate': 0.6987252464207044, 'reg_alpha': 0.00043638363233225127, 'reg_lambda': 2.0347515838587933}. Best is trial 715 with value: 0.9377859576434285.
Trial 798 finished with value: 0.0875077570250282 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.1085598956509668, 'subsample': 0.5737128399896778, 'colsample_bytree': 0.6502681049197135, 'learning_rate': 0.04278895039296238, 'reg_alpha': 0.019183563739877438, 'reg_lambda': 0.0326023906124462}. Best is trial 715 with value: 0.9377859576434285.
Trial 792 finished with value: -2.0615498546387276e+26 and parameters: {'max_depth': 10, 'min_child_weight': 2, 'gamma': 0.39489874055922936, 'subsample': 0.027660133132462073, 'colsample_bytree': 0.1778246558151364, 'learning_rate': 0.930198869689374, 'reg_alpha': 0.00023155931806846336, 'reg_lambda': 0.0010637414444084976}. Best is trial 715 with value: 0.9377859576434285.
Trial 784 finished with value: -3284.409381188605 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'gamma': 0.6075732682256582, 'subsample': 0.23804051108578317, 'colsample_bytree': 0.6208060974762235, 'learning_rate': 0.6603369654287892, 'reg_alpha': 0.41751356689037433, 'reg_lambda': 0.03063394784590348}. Best is trial 715 with value: 0.9377859576434285.
Trial 793 finished with value: 0.4421275424186891 and parameters: {'max_depth': 3, 'min_child_weight': 2, 'gamma': 0.5267041986155501, 'subsample': 0.24217954094034044, 'colsample_bytree': 0.8779066179630632, 'learning_rate': 0.36323122969496324, 'reg_alpha': 0.22294356305742835, 'reg_lambda': 0.003151754804992084}. Best is trial 715 with value: 0.9377859576434285.
Trial 773 finished with value: 0.8476875154961061 and parameters: {'max_depth': 9, 'min_child_weight': 1, 'gamma': 0.4034266888819481, 'subsample': 0.33128012980153176, 'colsample_bytree': 0.5538701205427332, 'learning_rate': 0.3715150073012605, 'reg_alpha': 2.041667685026113, 'reg_lambda': 0.00010752949720239355}. Best is trial 715 with value: 0.9377859576434285.
Trial 786 finished with value: 0.696505874034256 and parameters: {'max_depth': 6, 'min_child_weight': 5, 'gamma': 0.5998584202675838, 'subsample': 0.7931584569394419, 'colsample_bytree': 0.14844632474176567, 'learning_rate': 0.3921787770069489, 'reg_alpha': 0.0025118438385832607, 'reg_lambda': 0.1523032400580215}. Best is trial 715 with value: 0.9377859576434285.
Trial 768 finished with value: 0.8374550876952347 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.8667947716992243, 'subsample': 0.8547186009493777, 'colsample_bytree': 0.556732515043688, 'learning_rate': 0.993582060650882, 'reg_alpha': 0.003163681078129449, 'reg_lambda': 0.0029577824281095027}. Best is trial 715 with value: 0.9377859576434285.
Trial 785 finished with value: -6.776059682683009 and parameters: {'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.2510354987700695, 'subsample': 0.3602246927586884, 'colsample_bytree': 0.48869635330944183, 'learning_rate': 0.8904424987520535, 'reg_alpha': 0.027157806257959934, 'reg_lambda': 0.007988938887347578}. Best is trial 715 with value: 0.9377859576434285.
Trial 796 finished with value: 0.06699985374006746 and parameters: {'max_depth': 10, 'min_child_weight': 2, 'gamma': 0.9249250419975757, 'subsample': 0.8503512661995963, 'colsample_bytree': 0.03223305633235951, 'learning_rate': 0.6909892735823581, 'reg_alpha': 0.4569438050049307, 'reg_lambda': 5.670087399429661}. Best is trial 715 with value: 0.9377859576434285.
Trial 804 finished with value: 0.039620453716327865 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.6470757078178361, 'subsample': 0.625872954025759, 'colsample_bytree': 0.03815168487961307, 'learning_rate': 0.706928002415261, 'reg_alpha': 0.036380333439959646, 'reg_lambda': 0.051138398009154734}. Best is trial 715 with value: 0.9377859576434285.
Trial 782 finished with value: 0.8207653025980246 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.7579758798862427, 'subsample': 0.6942350036363757, 'colsample_bytree': 0.340554996503473, 'learning_rate': 0.1387395129485144, 'reg_alpha': 0.627003807145593, 'reg_lambda': 1.6812385054478514}. Best is trial 715 with value: 0.9377859576434285.
Trial 780 finished with value: 0.8937092881965221 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.38530301400074496, 'subsample': 0.7848097523723009, 'colsample_bytree': 0.4647502342372345, 'learning_rate': 0.1954879409809488, 'reg_alpha': 0.026974084771406778, 'reg_lambda': 0.0005810540937526093}. Best is trial 715 with value: 0.9377859576434285.
Trial 788 finished with value: 0.670628013671584 and parameters: {'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.9478083313054931, 'subsample': 0.4191400987646454, 'colsample_bytree': 0.13779959886132975, 'learning_rate': 0.21926006542531806, 'reg_alpha': 0.2014135561727276, 'reg_lambda': 0.00105871793629901}. Best is trial 715 with value: 0.9377859576434285.
Trial 812 finished with value: 0.08361079272330721 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.5936478077167454, 'subsample': 0.6161072104449765, 'colsample_bytree': 0.2094593474168639, 'learning_rate': 0.7348958037150422, 'reg_alpha': 0.5561147163532547, 'reg_lambda': 0.2544185694709987}. Best is trial 715 with value: 0.9377859576434285.
Trial 800 finished with value: 0.41790138529351756 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.3209913377834054, 'subsample': 0.49948202263842467, 'colsample_bytree': 0.2232704584429761, 'learning_rate': 0.8358499277349575, 'reg_alpha': 3.0143701089307924, 'reg_lambda': 0.00028298263347063053}. Best is trial 715 with value: 0.9377859576434285.
Trial 789 finished with value: 0.7388845023815966 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.6269424780641669, 'subsample': 0.4013382779763274, 'colsample_bytree': 0.38037301691088343, 'learning_rate': 0.5754338707320938, 'reg_alpha': 2.9427032238250943, 'reg_lambda': 0.0013511559889827515}. Best is trial 715 with value: 0.9377859576434285.
Trial 815 finished with value: 0.09635124603248367 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.8140786016769015, 'subsample': 0.941522910140897, 'colsample_bytree': 0.5197490303006688, 'learning_rate': 0.8861419798750944, 'reg_alpha': 0.0006835116202035255, 'reg_lambda': 0.00014118503040053582}. Best is trial 715 with value: 0.9377859576434285.
Trial 799 finished with value: 0.7304290497750511 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.7029899228134899, 'subsample': 0.5083145978252216, 'colsample_bytree': 0.3686930628043812, 'learning_rate': 0.30296721209110455, 'reg_alpha': 0.10304728142169521, 'reg_lambda': 0.05635401131686675}. Best is trial 715 with value: 0.9377859576434285.
Trial 808 finished with value: 0.5432591987236723 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'gamma': 0.03511480083294216, 'subsample': 0.286264974914641, 'colsample_bytree': 0.5821083649583302, 'learning_rate': 0.12283610630092023, 'reg_alpha': 1.299288498193192, 'reg_lambda': 0.08537239403226062}. Best is trial 715 with value: 0.9377859576434285.
Trial 803 finished with value: -0.02310572510921328 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.39415110519562524, 'subsample': 0.38623140987990545, 'colsample_bytree': 0.022824493263197243, 'learning_rate': 0.9664946847675076, 'reg_alpha': 0.0002500420864329236, 'reg_lambda': 0.1744183080662382}. Best is trial 715 with value: 0.9377859576434285.
Trial 816 finished with value: 0.05581595763765056 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.14096166820354317, 'subsample': 0.6059113497166184, 'colsample_bytree': 0.12168694572173655, 'learning_rate': 0.01737703196633411, 'reg_alpha': 0.06654128551488617, 'reg_lambda': 0.0184944977206812}. Best is trial 715 with value: 0.9377859576434285.
Trial 783 finished with value: 0.919058944432301 and parameters: {'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.5265746670504203, 'subsample': 0.9812571940321072, 'colsample_bytree': 0.6176208596729083, 'learning_rate': 0.6362105859109056, 'reg_alpha': 0.00020790776737614374, 'reg_lambda': 0.016641452519526426}. Best is trial 715 with value: 0.9377859576434285.
Trial 791 finished with value: 0.8040179621479357 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.6635360928830404, 'subsample': 0.3205485687733981, 'colsample_bytree': 0.3473364874236792, 'learning_rate': 0.27358672820710905, 'reg_alpha': 0.0011223079579883053, 'reg_lambda': 0.8297266187633705}. Best is trial 715 with value: 0.9377859576434285.
Trial 802 finished with value: 0.3669850105468452 and parameters: {'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.16949452570152768, 'subsample': 0.4855243761941609, 'colsample_bytree': 0.1259957619471579, 'learning_rate': 0.6160776787669957, 'reg_alpha': 0.011844824680902392, 'reg_lambda': 0.8720616219383919}. Best is trial 715 with value: 0.9377859576434285.
Trial 819 finished with value: -0.32255758408989144 and parameters: {'max_depth': 1, 'min_child_weight': 3, 'gamma': 0.3913668002533742, 'subsample': 0.1582799488103035, 'colsample_bytree': 0.07512439825437267, 'learning_rate': 0.7431600625145979, 'reg_alpha': 0.0032731542096679596, 'reg_lambda': 0.10969399761789798}. Best is trial 715 with value: 0.9377859576434285.
Trial 810 finished with value: 0.5553512284699388 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'gamma': 0.7484296179531917, 'subsample': 0.9430797646440114, 'colsample_bytree': 0.7747946876330271, 'learning_rate': 0.028636241248029548, 'reg_alpha': 0.00027546446797504565, 'reg_lambda': 0.00024003512563123408}. Best is trial 715 with value: 0.9377859576434285.
Trial 801 finished with value: 0.7182939146413025 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.31838185053593726, 'subsample': 0.528070680697056, 'colsample_bytree': 0.3230925925293384, 'learning_rate': 0.5665794889206813, 'reg_alpha': 0.0025729990554703517, 'reg_lambda': 0.007920945257095578}. Best is trial 715 with value: 0.9377859576434285.
Trial 787 finished with value: 0.8495921622550239 and parameters: {'max_depth': 10, 'min_child_weight': 1, 'gamma': 0.9484164815061883, 'subsample': 0.7266428449675973, 'colsample_bytree': 0.30202668552028755, 'learning_rate': 0.6793934751744356, 'reg_alpha': 0.0004080851217598907, 'reg_lambda': 0.001081121745018276}. Best is trial 715 with value: 0.9377859576434285.
Trial 824 finished with value: 0.09171120572205428 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.16901698217075933, 'subsample': 0.8568514009748701, 'colsample_bytree': 0.9083869205503194, 'learning_rate': 0.6860693511421595, 'reg_alpha': 9.414921452416785, 'reg_lambda': 0.6459771738615124}. Best is trial 715 with value: 0.9377859576434285.
Trial 797 finished with value: 0.9146785748558107 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.6823421229253599, 'subsample': 0.9426588890895349, 'colsample_bytree': 0.30018944828301697, 'learning_rate': 0.9621570941403478, 'reg_alpha': 0.019200551489459414, 'reg_lambda': 0.001897105740434013}. Best is trial 715 with value: 0.9377859576434285.
Trial 826 finished with value: 0.07708463303404985 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.194130459463416, 'subsample': 0.3350838889941854, 'colsample_bytree': 0.5336871100177231, 'learning_rate': 0.1810927910561534, 'reg_alpha': 0.0015795898182708978, 'reg_lambda': 0.021238032511956082}. Best is trial 715 with value: 0.9377859576434285.
Trial 776 finished with value: 0.9093534633102587 and parameters: {'max_depth': 9, 'min_child_weight': 2, 'gamma': 0.4526526851743964, 'subsample': 0.9935037457563803, 'colsample_bytree': 0.8453681028412089, 'learning_rate': 0.39370224099580453, 'reg_alpha': 0.010112807210639745, 'reg_lambda': 0.3150923122022663}. Best is trial 715 with value: 0.9377859576434285.
Trial 807 finished with value: 0.5724854217243017 and parameters: {'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.7304784394161071, 'subsample': 0.22753349738528306, 'colsample_bytree': 0.492403380970175, 'learning_rate': 0.017461297845299262, 'reg_alpha': 0.09440122644003489, 'reg_lambda': 0.47026730036392483}. Best is trial 715 with value: 0.9377859576434285.
Trial 805 finished with value: -63.96567086756147 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.6900866068878502, 'subsample': 0.25158982550490794, 'colsample_bytree': 0.982962655547288, 'learning_rate': 0.7822770874672208, 'reg_alpha': 0.008874801855602564, 'reg_lambda': 0.00028760446186873825}. Best is trial 715 with value: 0.9377859576434285.
Trial 823 finished with value: 0.26665083963400693 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.1884870980284824, 'subsample': 0.045862646205929836, 'colsample_bytree': 0.7171781905031286, 'learning_rate': 0.10176141711393993, 'reg_alpha': 0.24009847888945673, 'reg_lambda': 4.954497800020363}. Best is trial 715 with value: 0.9377859576434285.
Trial 806 finished with value: 0.7571841692277923 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.5216071354772301, 'subsample': 0.43541191512770006, 'colsample_bytree': 0.24382270938190864, 'learning_rate': 0.8174462954661317, 'reg_alpha': 0.0035791952909872103, 'reg_lambda': 4.344211839148664}. Best is trial 715 with value: 0.9377859576434285.
Trial 829 finished with value: 0.3943283665137692 and parameters: {'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.9334981379479662, 'subsample': 0.5239304335865029, 'colsample_bytree': 0.3201408308140924, 'learning_rate': 0.7681292121211482, 'reg_alpha': 0.00300838372628882, 'reg_lambda': 5.326699857326608}. Best is trial 715 with value: 0.9377859576434285.
Trial 833 finished with value: 0.4367935846818842 and parameters: {'max_depth': 2, 'min_child_weight': 5, 'gamma': 0.673781784947696, 'subsample': 0.325273371908016, 'colsample_bytree': 0.5129825192931592, 'learning_rate': 0.17418604102989343, 'reg_alpha': 3.7218612921823304, 'reg_lambda': 4.782578114410076}. Best is trial 715 with value: 0.9377859576434285.
Trial 820 finished with value: -314.2400514362762 and parameters: {'max_depth': 10, 'min_child_weight': 3, 'gamma': 0.3705998265813718, 'subsample': 0.06496895915190293, 'colsample_bytree': 0.5994189196660414, 'learning_rate': 0.48173610286133883, 'reg_alpha': 0.003485652981939882, 'reg_lambda': 0.009170833837375214}. Best is trial 715 with value: 0.9377859576434285.
Trial 811 finished with value: 0.8469682992623891 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.7789333240873565, 'subsample': 0.7998438472850262, 'colsample_bytree': 0.29747324785763396, 'learning_rate': 0.5785043329562874, 'reg_alpha': 0.059838935577077375, 'reg_lambda': 0.006598118507390598}. Best is trial 715 with value: 0.9377859576434285.
Trial 809 finished with value: 0.8890147188541474 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.540678579246518, 'subsample': 0.6419497823263965, 'colsample_bytree': 0.45061481055350905, 'learning_rate': 0.14856892993668114, 'reg_alpha': 0.26537467886044475, 'reg_lambda': 0.009801373868303336}. Best is trial 715 with value: 0.9377859576434285.
Trial 795 finished with value: 0.9263934433981798 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.05412794051649272, 'subsample': 0.9178022056230531, 'colsample_bytree': 0.7943965025106081, 'learning_rate': 0.9990651971079766, 'reg_alpha': 0.0010449450865745934, 'reg_lambda': 0.00012226030424439418}. Best is trial 715 with value: 0.9377859576434285.
Trial 821 finished with value: 0.749000468379545 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'gamma': 0.4715281131095326, 'subsample': 0.7293482884217886, 'colsample_bytree': 0.33217862698335654, 'learning_rate': 0.1917555796126581, 'reg_alpha': 0.013624502207589595, 'reg_lambda': 7.366454214731349}. Best is trial 715 with value: 0.9377859576434285.
Trial 817 finished with value: -328470.7677355407 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'gamma': 0.9504231149008802, 'subsample': 0.2494524528155554, 'colsample_bytree': 0.9376453251476581, 'learning_rate': 0.6673448333713022, 'reg_alpha': 0.22369344532762545, 'reg_lambda': 0.00014841237530751228}. Best is trial 715 with value: 0.9377859576434285.
Trial 822 finished with value: 0.8029968874746298 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.07666079087022082, 'subsample': 0.46731598672291963, 'colsample_bytree': 0.9520677035384185, 'learning_rate': 0.25838064762424817, 'reg_alpha': 0.00012948765070463169, 'reg_lambda': 0.7593494378034259}. Best is trial 715 with value: 0.9377859576434285.
Trial 818 finished with value: 0.428252913732713 and parameters: {'max_depth': 10, 'min_child_weight': 4, 'gamma': 0.339920145744513, 'subsample': 0.3078894459414243, 'colsample_bytree': 0.18372077157258437, 'learning_rate': 0.6220460610807266, 'reg_alpha': 0.00014268355733312236, 'reg_lambda': 0.520668968059283}. Best is trial 715 with value: 0.9377859576434285.
Trial 832 finished with value: -38.75513582700749 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.21524646285951465, 'subsample': 0.053253367846696764, 'colsample_bytree': 0.4623960972158606, 'learning_rate': 0.7398753723102618, 'reg_alpha': 0.059491533609477926, 'reg_lambda': 3.501266296292751}. Best is trial 715 with value: 0.9377859576434285.
Trial 842 finished with value: -40930.878749014024 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.05216686232685863, 'subsample': 0.09662625463326158, 'colsample_bytree': 0.6079318199137761, 'learning_rate': 0.9427009813421114, 'reg_alpha': 6.048376856861154, 'reg_lambda': 0.01331128183004935}. Best is trial 715 with value: 0.9377859576434285.
Trial 814 finished with value: 0.675935045579236 and parameters: {'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.1570929437316847, 'subsample': 0.7501890770062997, 'colsample_bytree': 0.37271009381119946, 'learning_rate': 0.008472990431598215, 'reg_alpha': 0.8356443804405276, 'reg_lambda': 0.04517690335819976}. Best is trial 715 with value: 0.9377859576434285.
Trial 828 finished with value: 0.8923063290681587 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.9048036123940358, 'subsample': 0.9892757891925212, 'colsample_bytree': 0.5929466187866298, 'learning_rate': 0.5571840875858388, 'reg_alpha': 0.008240603692344216, 'reg_lambda': 0.000639935915604095}. Best is trial 715 with value: 0.9377859576434285.
Trial 847 finished with value: 0.0459014649496464 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.009176234786024584, 'subsample': 0.539860032166428, 'colsample_bytree': 0.04312464403397587, 'learning_rate': 0.5822176583818559, 'reg_alpha': 0.0015175330212732919, 'reg_lambda': 0.04271122686961167}. Best is trial 715 with value: 0.9377859576434285.
Trial 830 finished with value: 0.8906254790869436 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'gamma': 0.808271296368037, 'subsample': 0.842321138523812, 'colsample_bytree': 0.919395422570367, 'learning_rate': 0.3343245031717126, 'reg_alpha': 0.00046612142346647034, 'reg_lambda': 0.012483679576381045}. Best is trial 715 with value: 0.9377859576434285.
Trial 835 finished with value: 0.7662535509222022 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.9690731958243234, 'subsample': 0.5595029136364715, 'colsample_bytree': 0.5231265297193501, 'learning_rate': 0.16886775126051623, 'reg_alpha': 8.370028791701666, 'reg_lambda': 0.005359207342466155}. Best is trial 715 with value: 0.9377859576434285.
Trial 834 finished with value: 0.765599526310645 and parameters: {'max_depth': 6, 'min_child_weight': 2, 'gamma': 0.18570236391364892, 'subsample': 0.9539384425641855, 'colsample_bytree': 0.16570181755875302, 'learning_rate': 0.6116329491828507, 'reg_alpha': 0.00016076533990925422, 'reg_lambda': 0.0001680226018161069}. Best is trial 715 with value: 0.9377859576434285.
Trial 840 finished with value: -0.3669282541428809 and parameters: {'max_depth': 10, 'min_child_weight': 1, 'gamma': 0.8782831901964343, 'subsample': 0.034756481669521055, 'colsample_bytree': 0.2743538767612611, 'learning_rate': 0.15157040449392434, 'reg_alpha': 0.9779412886917682, 'reg_lambda': 0.001616003974442644}. Best is trial 715 with value: 0.9377859576434285.
Trial 843 finished with value: -316.7628693356689 and parameters: {'max_depth': 9, 'min_child_weight': 2, 'gamma': 0.4082122920495156, 'subsample': 0.05928135554782088, 'colsample_bytree': 0.9687515369850243, 'learning_rate': 0.915337013958606, 'reg_alpha': 0.0007037210849726316, 'reg_lambda': 4.169421735536292}. Best is trial 715 with value: 0.9377859576434285.
Trial 846 finished with value: 0.6001220136268253 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'gamma': 0.5046936593686311, 'subsample': 0.8329207461328101, 'colsample_bytree': 0.528677885645804, 'learning_rate': 0.08164535703056985, 'reg_alpha': 1.0305212938399855, 'reg_lambda': 0.026816995895234997}. Best is trial 715 with value: 0.9377859576434285.
Trial 838 finished with value: -46788.65643006507 and parameters: {'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.49293866121673646, 'subsample': 0.17570288233801112, 'colsample_bytree': 0.18239974010978632, 'learning_rate': 0.9744923129253609, 'reg_alpha': 0.004966655983506094, 'reg_lambda': 0.0005135552469864432}. Best is trial 715 with value: 0.9377859576434285.
Trial 850 finished with value: -1.3277477006334577 and parameters: {'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.448780760328246, 'subsample': 0.03931659979036839, 'colsample_bytree': 0.26554320888554195, 'learning_rate': 0.3184248673699678, 'reg_alpha': 0.0006305636769119398, 'reg_lambda': 0.0007022434661498144}. Best is trial 715 with value: 0.9377859576434285.
Trial 827 finished with value: 0.24769656310039506 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.3583079394908989, 'subsample': 0.2146071008901278, 'colsample_bytree': 0.6302186361246745, 'learning_rate': 0.4664882946238559, 'reg_alpha': 0.0001408392187291794, 'reg_lambda': 0.010570097209054469}. Best is trial 715 with value: 0.9377859576434285.
Trial 852 finished with value: 0.45154601143208206 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'gamma': 0.5376956110016194, 'subsample': 0.30010240814093914, 'colsample_bytree': 0.17904319197265717, 'learning_rate': 0.35096000440969777, 'reg_alpha': 0.00010427285946961365, 'reg_lambda': 1.6776760097857306}. Best is trial 715 with value: 0.9377859576434285.
Trial 854 finished with value: 0.28332291480951355 and parameters: {'max_depth': 2, 'min_child_weight': 5, 'gamma': 0.3451637432051481, 'subsample': 0.8450751780218881, 'colsample_bytree': 0.21645190131595804, 'learning_rate': 0.02708804558288025, 'reg_alpha': 0.02413222873568375, 'reg_lambda': 0.001824820026228101}. Best is trial 715 with value: 0.9377859576434285.
Trial 851 finished with value: 0.6122016472877948 and parameters: {'max_depth': 3, 'min_child_weight': 4, 'gamma': 0.7560256930265259, 'subsample': 0.6502303557786314, 'colsample_bytree': 0.6838910427291314, 'learning_rate': 0.8035317858244337, 'reg_alpha': 0.004142772682148551, 'reg_lambda': 0.059897675025851776}. Best is trial 715 with value: 0.9377859576434285.
Trial 831 finished with value: 0.7613214004848364 and parameters: {'max_depth': 9, 'min_child_weight': 3, 'gamma': 0.5084919519717784, 'subsample': 0.3029289483666826, 'colsample_bytree': 0.4091044434145792, 'learning_rate': 0.1822527925481191, 'reg_alpha': 0.012909044952161875, 'reg_lambda': 0.02743185607269369}. Best is trial 715 with value: 0.9377859576434285.
Trial 853 finished with value: 0.75096958127162 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.392909756333928, 'subsample': 0.8119812782455864, 'colsample_bytree': 0.896885868823089, 'learning_rate': 0.8594410541659089, 'reg_alpha': 0.0017755418806825458, 'reg_lambda': 0.15118940973818695}. Best is trial 715 with value: 0.9377859576434285.
Trial 841 finished with value: 0.8846805782383318 and parameters: {'max_depth': 5, 'min_child_weight': 2, 'gamma': 0.6336168926665953, 'subsample': 0.8049620636053891, 'colsample_bytree': 0.9500923993243873, 'learning_rate': 0.06571688928686215, 'reg_alpha': 0.1420727173077221, 'reg_lambda': 0.22202340209938387}. Best is trial 715 with value: 0.9377859576434285.
