A new study created in RDB with name: MLP_12115
Trial 0 finished with value: 141.5070466244852 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00538449941369389, 'batch_size': 96}. Best is trial 0 with value: 141.5070466244852.
Trial 177 finished with value: 17.310652244877776 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001726227760529268, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 178 finished with value: 14.260005759472232 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0020573580574013615, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 179 finished with value: 16.070131375444767 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013051288690057463, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 180 finished with value: 170.1198104597745 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0006663913427235876, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 181 finished with value: 200.7787283504709 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0021349220849156245, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 182 finished with value: 17.573856953291912 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0015409771635433152, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 183 finished with value: 22.649636030303526 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0018173294755835794, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 184 finished with value: 15.750782573285779 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001168939993656196, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 185 finished with value: 30.948820394431152 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011642496134607809, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 186 finished with value: 27.696091826336378 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000878945817095004, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 187 finished with value: 20.218342688699817 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013744375185183305, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 188 finished with value: 22.112511607303073 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010630888385440645, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 189 finished with value: 124.69900392910138 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012524228086503854, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 190 finished with value: 64.47057850794938 and parameters: {'input_dropout': 0.0, 'hidden_layers': 2, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0025234746853769713, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 191 finished with value: 17.486964639843677 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0015972940339034996, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 192 finished with value: 14.849349416899498 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0020026108653980663, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 193 finished with value: 17.885753425146746 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0019899185045679636, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 194 finished with value: 18.96963615145209 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014859396675985187, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 195 finished with value: 23.30962492494621 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009585586837894796, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 196 finished with value: 24.261985697449507 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013149272088258063, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 197 finished with value: 164.02811475445864 and parameters: {'input_dropout': 0.2, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0017324434550587326, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 198 finished with value: 18.209161755881524 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001123886874788505, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 199 finished with value: 15.437663603551536 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001397226153379689, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 200 finished with value: 20.30025201991585 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0023876531124056672, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 201 finished with value: 20.255617178378504 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001508586153884299, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 202 finished with value: 16.11529216649656 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011944006398927635, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 203 finished with value: 17.144866117650018 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0018328650288619405, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 204 finished with value: 17.063070614729806 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013873316552398568, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 205 finished with value: 13.233716331915389 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008019468801209815, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 206 finished with value: 19.8422684683662 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0008030669220012626, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 207 finished with value: 133.1464099768744 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010069131710032256, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 208 finished with value: 23.163386556284117 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000872631906684564, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 209 finished with value: 19.49711115184063 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0029495704220296047, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 210 finished with value: 18.779950999360352 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.002063841958903337, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 211 finished with value: 20.138692296809342 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010469652749216039, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 212 finished with value: 18.301214999898676 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007162776665478577, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 213 finished with value: 29.84314974155374 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0005726250275494518, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 214 finished with value: 19.7929295122268 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0016345326742214434, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 215 finished with value: 19.682711118196778 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001258589989903281, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 216 finished with value: 14.159431142132968 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014864418727809287, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 217 finished with value: 11.075071984071085 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0016644960023624866, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 218 finished with value: 15.225992585429262 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001901821053166214, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 219 finished with value: 20.626196352921156 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0017430623707116082, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 220 finished with value: 14.58217052731131 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014471738818505194, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 221 finished with value: 14.824253385052842 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014295976088087568, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 222 finished with value: 13.806684926537914 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0015411046431882123, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 223 finished with value: 13.951543461729832 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0016306679374750615, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 224 finished with value: 10.675846689596272 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0015859037516059431, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 225 finished with value: 15.841990504162695 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001555923365701369, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 226 finished with value: 16.249290282481812 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013540405914412826, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 227 finished with value: 13.363467116225745 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0015960237949546982, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 228 finished with value: 15.838342999985775 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0015200720242944821, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 229 finished with value: 15.307468789699831 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001205495652082121, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 230 finished with value: 17.656458797638436 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0016507857451494024, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 231 finished with value: 25.45877497958333 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.002143068047335472, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 232 finished with value: 19.194626587978412 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001411989702903065, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 233 finished with value: 19.863254235969137 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0016084371872364452, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 234 finished with value: 13.885843129202172 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012523702111499405, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 235 finished with value: 17.600655767695113 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0010985103176292133, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 236 finished with value: 28.763427382712532 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001298910700821233, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 237 finished with value: 14.182037494196607 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012205374269534748, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 238 finished with value: 13.186764775602077 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011642503862557198, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 239 finished with value: 32.15330627070187 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0010944183514145739, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 240 finished with value: 18.735370145878033 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012085666277946298, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 241 finished with value: 19.375150022550038 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009637454907374473, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 242 finished with value: 19.34252859499541 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012852358695027463, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 243 finished with value: 314.0125645679018 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001621380669234098, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 244 finished with value: 14.929714619825718 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001072763182333172, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 245 finished with value: 21.284469159161688 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0014064494113223164, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 246 finished with value: 21.243578007604793 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000848810147215957, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 247 finished with value: 15.290739166398945 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00173247455674251, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 248 finished with value: 18.658041898343 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0012141755483949758, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 249 finished with value: 24.55917668934034 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009971057729708833, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 250 finished with value: 16.289404541238444 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0013789609112002312, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 251 finished with value: 15.821957138827285 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0016185975781193521, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
Trial 252 finished with value: 14.835068122435402 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.001182929256131375, 'batch_size': 64}. Best is trial 170 with value: 10.560527383025718.
