A new study created in RDB with name: MLP_62542
Trial 0 finished with value: 258.6958705672323 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002127899633977048, 'batch_size': 128}. Best is trial 0 with value: 258.6958705672323.
Trial 72 finished with value: 11.985789281995453 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014999996148531197, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 73 finished with value: 17.12133844733384 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013136710048896785, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 74 finished with value: 147.4583895052953 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014200501374560712, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 75 finished with value: 15.47851910225671 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0035804662537007683, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 76 finished with value: 27.746984161944034 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003250625136306223, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 77 finished with value: 94.18248779487872 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003809406438663816, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 78 finished with value: 45.75160352517332 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0049449894603309725, 'batch_size': 128}. Best is trial 72 with value: 11.985789281995453.
Trial 79 finished with value: 909.2772311660552 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025722579754287205, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 80 finished with value: 227.78301426433924 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0082413281399614, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 81 finished with value: 14.41019030672176 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014999239307689467, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 82 finished with value: 14.67386838121109 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00116417193740225, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 83 finished with value: 14.349756143992842 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001168886273283159, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 84 finished with value: 21.368665211059152 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0008549215254973965, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 85 finished with value: 88.34913492464898 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022169557381231672, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 86 finished with value: 12.967445572732238 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010582769521835427, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 87 finished with value: 18.936487559903643 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0011017207887354672, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 88 finished with value: 17.65619814699411 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017345227130828144, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 89 finished with value: 722.933946353056 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0007090505757957976, 'batch_size': 96}. Best is trial 72 with value: 11.985789281995453.
Trial 90 finished with value: 159.01325956984573 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003426752294934998, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 91 finished with value: 21.941173867406757 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00135801091880286, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 92 finished with value: 21.891846347564968 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0009788970836920048, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 93 finished with value: 20.743849938757677 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013993978897622625, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 94 finished with value: 22.14805888830367 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019215648221169923, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 95 finished with value: 14.731955314051568 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015650692168341835, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 96 finished with value: 17.03303632702392 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022928909207863214, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 97 finished with value: 231.74687038571085 and parameters: {'input_dropout': 0.2, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015597760058120073, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 98 finished with value: 143.8960102978291 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0010883461711694246, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 99 finished with value: 62.698202662970125 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 6.548392496665863e-05, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 100 finished with value: 45.620727940747734 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000900564636511405, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 101 finished with value: 18.667216662410656 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002522708556332106, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 102 finished with value: 17.47047699571985 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002169976819300976, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 103 finished with value: 24.554472598707758 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00440317041727987, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 104 finished with value: 14.596151406730007 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017869132325002996, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 105 finished with value: 16.337929685919665 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016746858070708693, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 106 finished with value: 18.883119066044085 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005444489305662945, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 107 finished with value: 320.4106508677935 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001939034825296397, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 108 finished with value: 18.616608654359514 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012149825796691734, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 109 finished with value: 16.097534559695273 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015610942795761592, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 110 finished with value: 153.4004088860567 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000747285347708404, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 111 finished with value: 15.112712062545237 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001046055547217536, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 112 finished with value: 19.23057327395265 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010818810829385948, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 113 finished with value: 19.95921370290321 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001271057266977314, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 114 finished with value: 27.445520086624295 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0008970561069726752, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 115 finished with value: 12.766944764895584 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017894648289797914, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 116 finished with value: 12.165678629755984 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001775806675574669, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 117 finished with value: 15.471479992851037 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014818214443426726, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 118 finished with value: 161.40311267539178 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00290915489905645, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 119 finished with value: 19.166542988284032 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017686724754968212, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 120 finished with value: 139.96279773928268 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010167704458314325, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 121 finished with value: 13.32219694712854 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018786031284677967, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 122 finished with value: 16.692922970530038 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020675169394049906, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 123 finished with value: 15.682918760987404 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012710054277370844, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 124 finished with value: 21.934542402578977 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001534271051485557, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 125 finished with value: 20.33543276034425 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018571841119495278, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 126 finished with value: 25.9202097158906 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00258683408810836, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 127 finished with value: 103.84906271241262 and parameters: {'input_dropout': 0.1, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0011301215778794053, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 128 finished with value: 22.486234389632394 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0008182584108849261, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 129 finished with value: 20.47758300524788 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014855217914219402, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 130 finished with value: 245.18856429435846 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 1.0464015132896448e-05, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 131 finished with value: 17.84458010244932 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017337666919430789, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 132 finished with value: 19.70348128154943 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021568892508504606, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 133 finished with value: 16.416993427831315 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00139090825389637, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 134 finished with value: 22.373684962483807 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012373484686784666, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 135 finished with value: 14.237219107677323 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018675738973165346, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 136 finished with value: 14.845676670966382 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00247302112863695, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 137 finished with value: 18.71400185484621 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002424861355513824, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 138 finished with value: 16.61049980907745 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003217963903564377, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 139 finished with value: 178.59850933795047 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002757391716150473, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 140 finished with value: 16.408579225600274 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019923964525545056, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 141 finished with value: 17.92616778374455 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016095241094511742, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 142 finished with value: 15.785792804090812 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010239608547104632, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
Trial 143 finished with value: 13.642205150833574 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022595389114143617, 'batch_size': 64}. Best is trial 72 with value: 11.985789281995453.
