A new study created in RDB with name: MLP_153131
Trial 0 finished with value: 495.5684996318022 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0010891743874929258, 'batch_size': 96}. Best is trial 0 with value: 495.5684996318022.
Trial 125 finished with value: 12.691312586519592 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027083671422416292, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 126 finished with value: 17.04008354423805 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002795890270432128, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 127 finished with value: 22.885946878539276 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027870548016224925, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 128 finished with value: 19.267960362340038 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026740113493442254, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 129 finished with value: 24.633254044792213 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023853192802403664, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 130 finished with value: 152.01111862351308 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003253584624997095, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 131 finished with value: 19.95706027893157 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025729361823580033, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 132 finished with value: 19.172200090782777 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028998082781393456, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 133 finished with value: 21.706115417019138 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023372149246416174, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 134 finished with value: 15.613596098416297 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020418231000374665, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 135 finished with value: 20.276181004939918 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020737216959069095, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 136 finished with value: 74.96045899005095 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019184632884351113, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 137 finished with value: 25.406203109237584 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.005962776627144525, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 138 finished with value: 14.823299527027126 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002151309390620687, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 139 finished with value: 15.894433278068407 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021742712467040038, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 140 finished with value: 17.55209110357439 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002125944593471978, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 141 finished with value: 23.404643947235595 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022784486599860556, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 142 finished with value: 16.65325039213506 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023949161098204357, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 143 finished with value: 21.32295838125014 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019539072592853293, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 144 finished with value: 15.760142602205345 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002518745583006693, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 145 finished with value: 15.466773850232741 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002217975461426334, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 146 finished with value: 3229.795738156186 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002545071060697008, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 147 finished with value: 18.453103003499717 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021844874914955697, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 148 finished with value: 18.496593138017914 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0020745707362771937, 'batch_size': 32}. Best is trial 125 with value: 12.691312586519592.
Trial 149 finished with value: 14.52381361570238 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030447378186991433, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 150 finished with value: 15.828203768827677 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003029514149145217, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 151 finished with value: 16.201943926614923 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030863476715449856, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 152 finished with value: 24.19517941319612 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00269683560834541, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 153 finished with value: 13.668739372318745 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002421779857443131, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 154 finished with value: 19.1343044091289 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002470916854760797, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 155 finished with value: 14.22085424610577 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029155001078680215, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 156 finished with value: 13.50778323474898 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0033729455076121173, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 157 finished with value: 19.14685874663874 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0034454159050419492, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 158 finished with value: 91.47769461044354 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003226254179435789, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 159 finished with value: 64.73431065156615 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002866567509997086, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 160 finished with value: 2398.4676773143797 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002638978743713688, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 161 finished with value: 14.986563914351366 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023531227465660247, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 162 finished with value: 21.007621676955655 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022675824970626326, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 163 finished with value: 13.880892173577369 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023881021837382295, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 164 finished with value: 22.429914768896783 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002337832736143074, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 165 finished with value: 15.479623012618353 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002731860056096388, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 166 finished with value: 18.185968094040287 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003381895016092716, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 167 finished with value: 18.178430441059366 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029450935228954533, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 168 finished with value: 19.3687260084739 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002340669239924757, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 169 finished with value: 1209.2674631927916 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002518824713918049, 'batch_size': 96}. Best is trial 125 with value: 12.691312586519592.
Trial 170 finished with value: 17.714659358901276 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003110142158126013, 'batch_size': 128}. Best is trial 125 with value: 12.691312586519592.
Trial 171 finished with value: 10.681659473072962 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027437952539115383, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 172 finished with value: 16.43495777027604 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002783897967509772, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 173 finished with value: 20.248735175738233 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002615747072745969, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 174 finished with value: 24.457554370824717 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00243969823759594, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 175 finished with value: 25.15558458011042 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022405807201650585, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 176 finished with value: 24.40475253405444 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029466490311371852, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 177 finished with value: 14.068089657050177 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018724805675795085, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 178 finished with value: 32.910647645601536 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017379389703173246, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 179 finished with value: 14.790728964935337 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027873607255600834, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 180 finished with value: 15.502799580415552 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.003216650230429559, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 181 finished with value: 27.833937760988377 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018923466899424947, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 182 finished with value: 12.221229418706614 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027755839705362233, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 183 finished with value: 20.52000215400634 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0035704336580210695, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 184 finished with value: 99.14301002181624 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028352342848885553, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 185 finished with value: 17.93741593973849 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0026994341323718384, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 186 finished with value: 146.91101205587432 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.003051209309189446, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 187 finished with value: 13.05929581781864 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025983194235169186, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 188 finished with value: 11.758736379890838 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002601951776545245, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 189 finished with value: 13.953810444459087 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002594240383935853, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 190 finished with value: 26.90681968245899 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025937524823877157, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 191 finished with value: 20.32086598976446 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028553056568056986, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 192 finished with value: 14.487555879902413 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002466209814477512, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 193 finished with value: 103.5962272630693 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025052602237015903, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 194 finished with value: 32.175306295946235 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002640679755660671, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 195 finished with value: 28.867507597508247 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024575003087713575, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
Trial 196 finished with value: 16.96281515648216 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027752435673431683, 'batch_size': 96}. Best is trial 171 with value: 10.681659473072962.
