A new study created in RDB with name: MLP_942
Trial 0 finished with value: 184.6502827269914 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030870657531373693, 'batch_size': 32}. Best is trial 0 with value: 184.6502827269914.
Trial 171 finished with value: 126.24285533817017 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0008144451541272838, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 172 finished with value: 334.2801948487513 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0009881607746842715, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 173 finished with value: 74.7649574092655 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00017151395314318516, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 174 finished with value: 17790.178166530517 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00012828303609368596, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 175 finished with value: 1938.8789932262014 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00029107553891430447, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 176 finished with value: 173.76882245097178 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0009642012926998633, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 177 finished with value: 175.42980468088678 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0004831243097910822, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 178 finished with value: 162.3765919497169 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013689433821916194, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 179 finished with value: 364.7756173262329 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000466938417773205, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 180 finished with value: 211.02389683959584 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0011641916933667327, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 181 finished with value: 15385.233394377437 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00028787088260727244, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 182 finished with value: 13183.757619269534 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00040951258043473896, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 183 finished with value: 143.26006260580053 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0035246467975982034, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 184 finished with value: 6680.427147685164 and parameters: {'input_dropout': 0.2, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.000327136969059511, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 185 finished with value: 560.1990165759302 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00019123497531160527, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 186 finished with value: 82.45648473073292 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00056638130970526, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 187 finished with value: 270.7221599185274 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00569719398344768, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 188 finished with value: 229.1665821219887 and parameters: {'input_dropout': 0.2, 'hidden_layers': 7, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.009448463759507093, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 189 finished with value: 14904.431234120362 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.000105899635388834, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 190 finished with value: 255.89961786769933 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00011479055874195773, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 191 finished with value: 184.03293041033885 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00849577347928397, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 192 finished with value: 3597.8621904853494 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00010900120654919947, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 193 finished with value: 8482.854656979267 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00040905599568606107, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 194 finished with value: 228.52137207750388 and parameters: {'input_dropout': 0.1, 'hidden_layers': 3, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000292538251865153, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 195 finished with value: 207.4479818971725 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00020215806399170798, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 196 finished with value: 138.2892391417478 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0003063913590313684, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 197 finished with value: 282.2535320510368 and parameters: {'input_dropout': 0.1, 'hidden_layers': 7, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00011356708072491649, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 198 finished with value: 1630.0371489009046 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.005248341797933548, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 199 finished with value: 329.344774161475 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00015189476881764664, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 200 finished with value: 152.85744179824758 and parameters: {'input_dropout': 0.1, 'hidden_layers': 10, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.003914501008787567, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 201 finished with value: 257.329620804002 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.003704051493602947, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 202 finished with value: 99.9218255236993 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.004899663905046531, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 203 finished with value: 221.079512191267 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005401137917741194, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 204 finished with value: 412.4532471679316 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001352121302501602, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 205 finished with value: 207.7894009202302 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.004934230770322906, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 206 finished with value: 115.38114652335064 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.007314754572048613, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 207 finished with value: 120.35554291949553 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0034540381536388716, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 208 finished with value: 248.05297505051513 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.006998439445809263, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 209 finished with value: 152.04387261393816 and parameters: {'input_dropout': 0.2, 'hidden_layers': 4, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0033358157847531906, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 210 finished with value: 100.48720474822747 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0029371204640498043, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 211 finished with value: 141.5655561864446 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.001245139996494942, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 212 finished with value: 466.12911318217704 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00018749641628630357, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 213 finished with value: 1100.3125429522636 and parameters: {'input_dropout': 0.2, 'hidden_layers': 10, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005376781019767643, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 214 finished with value: 174.14723980943234 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0006123430757906742, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 215 finished with value: 278.76902292775367 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00011458132802896577, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 216 finished with value: 71.87338644618147 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.001639971420115686, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 217 finished with value: 83.24252666543802 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.004327781735633202, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 218 finished with value: 477.8642605843827 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0006144489972980179, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 219 finished with value: 7700.698366431492 and parameters: {'input_dropout': 0.1, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0030295321856122982, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 220 finished with value: 77.8530507306028 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.004046698190216696, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 221 finished with value: 233.98442785571083 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005264725798355464, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 222 finished with value: 157.8407094387237 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.006186027290329717, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 223 finished with value: 207.63813248836237 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0009141527927707799, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 224 finished with value: 19441.35652919944 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0001151681094754939, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 225 finished with value: 185.48401982181016 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0003631769710009309, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 226 finished with value: 11409.535227675558 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00022885510958083052, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 227 finished with value: 132.52906349610166 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0012910659927034532, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 228 finished with value: 6701.178308347891 and parameters: {'input_dropout': 0.05, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00013178532583210643, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 229 finished with value: 11742.813679313766 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00012591702744591075, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 230 finished with value: 232.6484447284609 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002092480400824319, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 231 finished with value: 113.01937224699182 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.008454148490091363, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 232 finished with value: 207.36204973397003 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.009286039766689538, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 233 finished with value: 328.1151034861961 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0002548897165197026, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 234 finished with value: 211.21686847879278 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0022322039022322463, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 235 finished with value: 32.924652912698875 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015342115903285204, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 236 finished with value: 134.76034714114166 and parameters: {'input_dropout': 0.1, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001654913336236605, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 237 finished with value: 300.9437347932422 and parameters: {'input_dropout': 0.2, 'hidden_layers': 8, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0003823142128681488, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 238 finished with value: 248.77656333648585 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00022387889283054197, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 239 finished with value: 124.29857256779292 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00041255623434661775, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 240 finished with value: 12219.114258861755 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00024188365622647485, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 241 finished with value: 9383.317275417585 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00021477069170583858, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 242 finished with value: 170.76292638452088 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00987976227353865, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
