A new study created in RDB with name: XGBRegressor_6531
Trial 17 finished with value: 0.4467439670228604 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.8869700038235654, 'subsample': 0.012102099265793198, 'colsample_bytree': 0.4559829485685656, 'learning_rate': 0.851666569233345, 'reg_alpha': 0.0009398634107741563, 'reg_lambda': 2.1210423643248144}. Best is trial 17 with value: 0.4467439670228604.
Trial 177 finished with value: 0.37488564210919184 and parameters: {'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.8013909162573941, 'subsample': 0.6742185243909178, 'colsample_bytree': 0.49806049596545166, 'learning_rate': 0.9076256612130816, 'reg_alpha': 0.00010970006963149099, 'reg_lambda': 0.00014961969764110328}. Best is trial 37 with value: 0.8147043883985973.
Trial 197 finished with value: 0.7743202964423408 and parameters: {'max_depth': 3, 'min_child_weight': 2, 'gamma': 0.5809262397212116, 'subsample': 0.9034362963651453, 'colsample_bytree': 0.37217630412045744, 'learning_rate': 0.24703442261510977, 'reg_alpha': 7.8009285600900204, 'reg_lambda': 0.1955747321501266}. Best is trial 37 with value: 0.8147043883985973.
Trial 185 finished with value: 0.7313593965285796 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.7074200667373712, 'subsample': 0.37058119758216546, 'colsample_bytree': 0.6642821270580345, 'learning_rate': 0.2310932785008457, 'reg_alpha': 8.191680806796235, 'reg_lambda': 4.845479215099911}. Best is trial 37 with value: 0.8147043883985973.
Trial 201 finished with value: 0.743735745444347 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.735975470573647, 'subsample': 0.48225767052111923, 'colsample_bytree': 0.07054284091444274, 'learning_rate': 0.11299356558902607, 'reg_alpha': 1.20400604492483, 'reg_lambda': 8.331635218954677}. Best is trial 37 with value: 0.8147043883985973.
Trial 190 finished with value: -2.31280688416976e+27 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.34820642806490687, 'subsample': 0.2321154224015134, 'colsample_bytree': 0.41082638519006187, 'learning_rate': 0.9581996433633547, 'reg_alpha': 2.602902834444465, 'reg_lambda': 0.04541317710038806}. Best is trial 37 with value: 0.8147043883985973.
Trial 194 finished with value: 0.572445623060227 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.7630688562621847, 'subsample': 0.5889541366204591, 'colsample_bytree': 0.1416193567628452, 'learning_rate': 0.822764580904055, 'reg_alpha': 8.614619637934654, 'reg_lambda': 0.0005468475206374661}. Best is trial 37 with value: 0.8147043883985973.
Trial 202 finished with value: 0.7571848441151066 and parameters: {'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.14832391777839482, 'subsample': 0.14667918381592326, 'colsample_bytree': 0.2818432395151679, 'learning_rate': 0.26760007155234544, 'reg_alpha': 0.0003941890654751896, 'reg_lambda': 0.11448096851537097}. Best is trial 37 with value: 0.8147043883985973.
Trial 209 finished with value: 0.1585773375209871 and parameters: {'max_depth': 2, 'min_child_weight': 2, 'gamma': 0.25923200657909784, 'subsample': 0.22405876710181083, 'colsample_bytree': 0.7032519427436595, 'learning_rate': 0.9082382415548791, 'reg_alpha': 0.5859894391856911, 'reg_lambda': 0.0026309471273844405}. Best is trial 37 with value: 0.8147043883985973.
Trial 212 finished with value: 0.7683679418781235 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.5432719743227596, 'subsample': 0.6507989475577168, 'colsample_bytree': 0.7515506959734939, 'learning_rate': 0.6763283332193158, 'reg_alpha': 0.013084936499257478, 'reg_lambda': 0.004954922703909468}. Best is trial 37 with value: 0.8147043883985973.
Trial 203 finished with value: 0.7071766448512946 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.7125355706452372, 'subsample': 0.9714675060503337, 'colsample_bytree': 0.3582420617624362, 'learning_rate': 0.7070709712502686, 'reg_alpha': 8.828076816118266, 'reg_lambda': 0.0025250016121321907}. Best is trial 37 with value: 0.8147043883985973.
Trial 204 finished with value: 0.17200867064360897 and parameters: {'max_depth': 4, 'min_child_weight': 1, 'gamma': 0.28998645805076084, 'subsample': 0.5003767639244215, 'colsample_bytree': 0.5490041129329305, 'learning_rate': 0.895332483164168, 'reg_alpha': 0.4407590568016096, 'reg_lambda': 0.17344644638446569}. Best is trial 37 with value: 0.8147043883985973.
Trial 196 finished with value: 0.682790088306898 and parameters: {'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.49012723121780366, 'subsample': 0.7031290083156646, 'colsample_bytree': 0.3365386945908101, 'learning_rate': 0.3373588781181003, 'reg_alpha': 0.24237386059395266, 'reg_lambda': 5.396993173148789}. Best is trial 37 with value: 0.8147043883985973.
Trial 221 finished with value: 0.7238014171637175 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.9750399114953868, 'subsample': 0.3241214502045757, 'colsample_bytree': 0.6271332440117406, 'learning_rate': 0.4624623960991159, 'reg_alpha': 0.0013529626767177405, 'reg_lambda': 2.3361159005936956}. Best is trial 37 with value: 0.8147043883985973.
Trial 188 finished with value: 0.49309904467035537 and parameters: {'max_depth': 10, 'min_child_weight': 1, 'gamma': 0.40318735828762386, 'subsample': 0.7674734344227706, 'colsample_bytree': 0.3102434051397185, 'learning_rate': 0.9433956761536615, 'reg_alpha': 0.06740505241847507, 'reg_lambda': 0.0010011085881283589}. Best is trial 37 with value: 0.8147043883985973.
Trial 207 finished with value: 0.2938481146430373 and parameters: {'max_depth': 4, 'min_child_weight': 4, 'gamma': 0.017731344836721896, 'subsample': 0.5707148934380261, 'colsample_bytree': 0.9630332211513648, 'learning_rate': 0.8413450990224755, 'reg_alpha': 0.00015688031288611437, 'reg_lambda': 0.0036705863740531717}. Best is trial 37 with value: 0.8147043883985973.
Trial 214 finished with value: 0.6951992339732213 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.5718247284036112, 'subsample': 0.2604035933377885, 'colsample_bytree': 0.003933122130636568, 'learning_rate': 0.9493002603783395, 'reg_alpha': 0.021899613545437208, 'reg_lambda': 1.8333004404791575}. Best is trial 37 with value: 0.8147043883985973.
Trial 210 finished with value: 0.4602822059929571 and parameters: {'max_depth': 4, 'min_child_weight': 1, 'gamma': 0.4307836923979814, 'subsample': 0.788144375186069, 'colsample_bytree': 0.9046818847646013, 'learning_rate': 0.6622267185897788, 'reg_alpha': 0.0010001099279214405, 'reg_lambda': 0.0008663122957310632}. Best is trial 37 with value: 0.8147043883985973.
Trial 220 finished with value: 0.7422022967275222 and parameters: {'max_depth': 3, 'min_child_weight': 4, 'gamma': 0.8302910002564888, 'subsample': 0.3088176837805522, 'colsample_bytree': 0.08032084393936567, 'learning_rate': 0.1437248675703897, 'reg_alpha': 0.007884496680730583, 'reg_lambda': 2.601347386207874}. Best is trial 37 with value: 0.8147043883985973.
Trial 199 finished with value: 0.5191030682376673 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.8270790644845732, 'subsample': 0.8641932973275942, 'colsample_bytree': 0.24052448831855255, 'learning_rate': 0.5038224009005482, 'reg_alpha': 0.0014934723124822606, 'reg_lambda': 0.005365600414721152}. Best is trial 37 with value: 0.8147043883985973.
Trial 215 finished with value: -22.8686697713164 and parameters: {'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.31207937316057754, 'subsample': 0.29515263590619467, 'colsample_bytree': 0.7303961015329155, 'learning_rate': 0.948138655353142, 'reg_alpha': 1.3570729777529962, 'reg_lambda': 0.013906232602146473}. Best is trial 37 with value: 0.8147043883985973.
Trial 200 finished with value: -4370.613888096562 and parameters: {'max_depth': 6, 'min_child_weight': 2, 'gamma': 0.011695873009303304, 'subsample': 0.3734622231501652, 'colsample_bytree': 0.6772937976211604, 'learning_rate': 0.9356802749442342, 'reg_alpha': 2.5887116030314723, 'reg_lambda': 0.0001278094107300047}. Best is trial 37 with value: 0.8147043883985973.
Trial 226 finished with value: 0.74145378915013 and parameters: {'max_depth': 1, 'min_child_weight': 1, 'gamma': 0.6865754394348849, 'subsample': 0.3064502322979443, 'colsample_bytree': 0.10053466231936259, 'learning_rate': 0.3605215542277399, 'reg_alpha': 0.006544667456957961, 'reg_lambda': 1.2774776107292196}. Best is trial 37 with value: 0.8147043883985973.
Trial 192 finished with value: 0.6899118683407272 and parameters: {'max_depth': 8, 'min_child_weight': 1, 'gamma': 0.10962220424318525, 'subsample': 0.6820904155510479, 'colsample_bytree': 0.5408414498348345, 'learning_rate': 0.11413091031656941, 'reg_alpha': 0.049678411150174795, 'reg_lambda': 0.09158951236867624}. Best is trial 37 with value: 0.8147043883985973.
Trial 216 finished with value: 0.6472904831453715 and parameters: {'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.13392108981198858, 'subsample': 0.7852268193218372, 'colsample_bytree': 0.4727602541076035, 'learning_rate': 0.48033559325972264, 'reg_alpha': 0.29545992099286694, 'reg_lambda': 0.0020962513911076414}. Best is trial 37 with value: 0.8147043883985973.
Trial 213 finished with value: 0.801753219323469 and parameters: {'max_depth': 6, 'min_child_weight': 5, 'gamma': 0.17697046981446196, 'subsample': 0.34099042132194024, 'colsample_bytree': 0.09626635518143845, 'learning_rate': 0.12840643714473243, 'reg_alpha': 1.2021310894864752, 'reg_lambda': 0.051665322446279166}. Best is trial 37 with value: 0.8147043883985973.
Trial 205 finished with value: 0.5922972127356056 and parameters: {'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.3647818636811343, 'subsample': 0.6470919711174291, 'colsample_bytree': 0.5939557112037089, 'learning_rate': 0.5504733494180185, 'reg_alpha': 7.935807536213642, 'reg_lambda': 0.0032389219896368053}. Best is trial 37 with value: 0.8147043883985973.
Trial 222 finished with value: 0.7981246096285137 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'gamma': 0.8772715255620155, 'subsample': 0.19339067184684, 'colsample_bytree': 0.26380776043354115, 'learning_rate': 0.011564736943020182, 'reg_alpha': 0.0001871698151721387, 'reg_lambda': 0.0023182291375500965}. Best is trial 37 with value: 0.8147043883985973.
Trial 223 finished with value: 0.7395121622885719 and parameters: {'max_depth': 4, 'min_child_weight': 4, 'gamma': 0.7128575403411304, 'subsample': 0.9702630564457934, 'colsample_bytree': 0.028370249714349427, 'learning_rate': 0.391417482996284, 'reg_alpha': 2.252135718075941, 'reg_lambda': 9.977209144731589}. Best is trial 37 with value: 0.8147043883985973.
Trial 232 finished with value: 0.7321786151908092 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.1088722394729652, 'subsample': 0.5249678904751711, 'colsample_bytree': 0.19575204198347784, 'learning_rate': 0.6451490713181264, 'reg_alpha': 0.2861386331885136, 'reg_lambda': 0.014543637153451883}. Best is trial 37 with value: 0.8147043883985973.
Trial 208 finished with value: -2.5142483680222914e+20 and parameters: {'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.23217516851532116, 'subsample': 0.17438891371481435, 'colsample_bytree': 0.6867291295908182, 'learning_rate': 0.9269074634264288, 'reg_alpha': 0.0005312391757215253, 'reg_lambda': 0.0013405602841398295}. Best is trial 37 with value: 0.8147043883985973.
Trial 225 finished with value: 0.7538019185717343 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.9300038707956122, 'subsample': 0.6015106191789548, 'colsample_bytree': 0.6824722247444753, 'learning_rate': 0.2552540566069508, 'reg_alpha': 0.001139509999948479, 'reg_lambda': 0.37824072444201856}. Best is trial 37 with value: 0.8147043883985973.
Trial 217 finished with value: 0.6183502601785721 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'gamma': 0.1795033953293078, 'subsample': 0.7221061103564879, 'colsample_bytree': 0.3237008982927546, 'learning_rate': 0.6402020476244938, 'reg_alpha': 0.11022730898225187, 'reg_lambda': 4.728414919694997}. Best is trial 37 with value: 0.8147043883985973.
Trial 184 finished with value: 0.6714716422735083 and parameters: {'max_depth': 10, 'min_child_weight': 3, 'gamma': 0.40009181483423983, 'subsample': 0.9618133016079352, 'colsample_bytree': 0.9481772691968845, 'learning_rate': 0.9789640520255782, 'reg_alpha': 0.004839316770347983, 'reg_lambda': 0.3738546356531658}. Best is trial 37 with value: 0.8147043883985973.
Trial 211 finished with value: 0.5693716798626133 and parameters: {'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.10224144382745615, 'subsample': 0.4218051357309752, 'colsample_bytree': 0.3981383644018469, 'learning_rate': 0.5801668506404576, 'reg_alpha': 0.2061358946592565, 'reg_lambda': 0.1240674517663705}. Best is trial 37 with value: 0.8147043883985973.
Trial 206 finished with value: 0.663337672278678 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.8790817364567591, 'subsample': 0.9125827864022206, 'colsample_bytree': 0.5052440740050191, 'learning_rate': 0.6198157327825884, 'reg_alpha': 0.0006892173094543106, 'reg_lambda': 0.0004043946707105291}. Best is trial 37 with value: 0.8147043883985973.
Trial 219 finished with value: 0.7365896383567617 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'gamma': 0.48206917516591663, 'subsample': 0.6684572684573519, 'colsample_bytree': 0.5262866144908414, 'learning_rate': 0.050613568110010276, 'reg_alpha': 0.00014946653381578667, 'reg_lambda': 0.0012707372352398505}. Best is trial 37 with value: 0.8147043883985973.
Trial 233 finished with value: 0.7692102794372035 and parameters: {'max_depth': 3, 'min_child_weight': 4, 'gamma': 0.6627434768041313, 'subsample': 0.7909455135455268, 'colsample_bytree': 0.6757839320302212, 'learning_rate': 0.00417015091960371, 'reg_alpha': 6.385015524161276, 'reg_lambda': 1.6964255480866268}. Best is trial 37 with value: 0.8147043883985973.
Trial 228 finished with value: 0.5177954018775566 and parameters: {'max_depth': 4, 'min_child_weight': 1, 'gamma': 0.9678473747263276, 'subsample': 0.8536364624446818, 'colsample_bytree': 0.8098871329098307, 'learning_rate': 0.8748146717875288, 'reg_alpha': 0.31218466177862675, 'reg_lambda': 4.732994765253379}. Best is trial 37 with value: 0.8147043883985973.
Trial 240 finished with value: 0.7395904887928171 and parameters: {'max_depth': 8, 'min_child_weight': 1, 'gamma': 0.3835547430152353, 'subsample': 0.994158225460493, 'colsample_bytree': 0.053548180056869676, 'learning_rate': 0.3672152257058726, 'reg_alpha': 3.2112412051388737, 'reg_lambda': 0.031151441376862783}. Best is trial 37 with value: 0.8147043883985973.
Trial 236 finished with value: 0.6842188297014714 and parameters: {'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.6555938834152867, 'subsample': 0.7640928906036472, 'colsample_bytree': 0.6761746183931134, 'learning_rate': 0.22373141643058714, 'reg_alpha': 0.005076516424118744, 'reg_lambda': 0.03834587532700771}. Best is trial 37 with value: 0.8147043883985973.
Trial 242 finished with value: 0.6659943170551548 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.3783842890962156, 'subsample': 0.8749387279353599, 'colsample_bytree': 0.9567018026003276, 'learning_rate': 0.5026130114040263, 'reg_alpha': 0.0001382163807684601, 'reg_lambda': 0.011119608183540491}. Best is trial 37 with value: 0.8147043883985973.
Trial 218 finished with value: 0.19319513490252793 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.23267999662736383, 'subsample': 0.4551479103395306, 'colsample_bytree': 0.934299312969079, 'learning_rate': 0.8196536211313884, 'reg_alpha': 0.0006704300822887151, 'reg_lambda': 0.08250836315410795}. Best is trial 37 with value: 0.8147043883985973.
Trial 224 finished with value: 0.5109536939777926 and parameters: {'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.7569862203684575, 'subsample': 0.6548495740755323, 'colsample_bytree': 0.6511185567528502, 'learning_rate': 0.412367968986601, 'reg_alpha': 0.008494732467700803, 'reg_lambda': 0.0038351303112634056}. Best is trial 37 with value: 0.8147043883985973.
Trial 235 finished with value: 0.7278318392013785 and parameters: {'max_depth': 8, 'min_child_weight': 4, 'gamma': 0.724883807112844, 'subsample': 0.40433099350869606, 'colsample_bytree': 0.09761303839795632, 'learning_rate': 0.881406288669336, 'reg_alpha': 0.00020205773699960268, 'reg_lambda': 0.770023942170026}. Best is trial 37 with value: 0.8147043883985973.
Trial 244 finished with value: 0.5786349171380437 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.4198221009696598, 'subsample': 0.10211069444813137, 'colsample_bytree': 0.27710622036959376, 'learning_rate': 0.4863487807512795, 'reg_alpha': 0.007488886450694262, 'reg_lambda': 1.810164502179954}. Best is trial 37 with value: 0.8147043883985973.
Trial 249 finished with value: -1407110834628101.0 and parameters: {'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.8329232148278015, 'subsample': 0.040130448545430686, 'colsample_bytree': 0.254368352363849, 'learning_rate': 0.930393605267595, 'reg_alpha': 8.228525611037195, 'reg_lambda': 0.0008166038505299592}. Best is trial 37 with value: 0.8147043883985973.
Trial 251 finished with value: -6.428175934379969e+28 and parameters: {'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.8025689134077459, 'subsample': 0.053312236173593375, 'colsample_bytree': 0.792762949948094, 'learning_rate': 0.9341286047039093, 'reg_alpha': 0.005647705330010664, 'reg_lambda': 0.004651038282719939}. Best is trial 37 with value: 0.8147043883985973.
Trial 234 finished with value: 0.42087425513008014 and parameters: {'max_depth': 10, 'min_child_weight': 2, 'gamma': 0.9401811565744714, 'subsample': 0.18204459057045397, 'colsample_bytree': 0.34607807250698, 'learning_rate': 0.8024403079515401, 'reg_alpha': 2.007423186241356, 'reg_lambda': 3.321962921263356}. Best is trial 37 with value: 0.8147043883985973.
Trial 254 finished with value: 0.7447425797098642 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.8804860876349897, 'subsample': 0.5238297053142507, 'colsample_bytree': 0.23415197288384637, 'learning_rate': 0.08481270689703302, 'reg_alpha': 0.6563357902001552, 'reg_lambda': 0.3575670570199894}. Best is trial 37 with value: 0.8147043883985973.
Trial 230 finished with value: 0.4770758522874643 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.33861575473907823, 'subsample': 0.6045291004067814, 'colsample_bytree': 0.2614171947846514, 'learning_rate': 0.7683281325044746, 'reg_alpha': 2.1929220023673137, 'reg_lambda': 0.03796718300540573}. Best is trial 37 with value: 0.8147043883985973.
Trial 237 finished with value: 0.4988611200945311 and parameters: {'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.5992085179931843, 'subsample': 0.8009408400768541, 'colsample_bytree': 0.698876501750405, 'learning_rate': 0.5552802789732851, 'reg_alpha': 0.024347847612360148, 'reg_lambda': 0.1552519346433468}. Best is trial 37 with value: 0.8147043883985973.
Trial 245 finished with value: 0.7473206324137541 and parameters: {'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.22125092512695677, 'subsample': 0.47016591450706235, 'colsample_bytree': 0.6526378748276519, 'learning_rate': 0.21579993108073392, 'reg_alpha': 0.000663762636216243, 'reg_lambda': 4.987476709180252}. Best is trial 37 with value: 0.8147043883985973.
Trial 239 finished with value: 0.7303806109120636 and parameters: {'max_depth': 9, 'min_child_weight': 5, 'gamma': 0.274595191206109, 'subsample': 0.6835723171510883, 'colsample_bytree': 0.1699086896615284, 'learning_rate': 0.5385154571172059, 'reg_alpha': 4.630066117761281, 'reg_lambda': 0.4753837978590035}. Best is trial 37 with value: 0.8147043883985973.
Trial 231 finished with value: 0.5286469577868734 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.06131005836482195, 'subsample': 0.7338945127632256, 'colsample_bytree': 0.2875384855666452, 'learning_rate': 0.6622802017777387, 'reg_alpha': 1.2500495750894862, 'reg_lambda': 0.004151662929120115}. Best is trial 37 with value: 0.8147043883985973.
Trial 266 finished with value: 0.717934659160508 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.5928397445375607, 'subsample': 0.27852107441977103, 'colsample_bytree': 0.2780406769598086, 'learning_rate': 0.7538253339525304, 'reg_alpha': 0.12748138586801336, 'reg_lambda': 3.050183130409904}. Best is trial 37 with value: 0.8147043883985973.
Trial 229 finished with value: 0.4337006389545109 and parameters: {'max_depth': 10, 'min_child_weight': 2, 'gamma': 0.06972189996175293, 'subsample': 0.2932407429884145, 'colsample_bytree': 0.5702099942300272, 'learning_rate': 0.6135775233241667, 'reg_alpha': 0.0005803718709462959, 'reg_lambda': 2.1329664263483346}. Best is trial 37 with value: 0.8147043883985973.
Trial 267 finished with value: 0.7374111981877842 and parameters: {'max_depth': 1, 'min_child_weight': 3, 'gamma': 0.800619754639585, 'subsample': 0.507402428894227, 'colsample_bytree': 0.8261860696905334, 'learning_rate': 0.394445229194619, 'reg_alpha': 0.35154940949976377, 'reg_lambda': 0.0012200316933211547}. Best is trial 37 with value: 0.8147043883985973.
Trial 259 finished with value: -36029239888262.12 and parameters: {'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.2840398144414966, 'subsample': 0.012971256106405149, 'colsample_bytree': 0.6014319036822519, 'learning_rate': 0.8770774881705677, 'reg_alpha': 0.000794262385072012, 'reg_lambda': 0.8066997646548508}. Best is trial 37 with value: 0.8147043883985973.
Trial 252 finished with value: 0.6748574591902659 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.31022142813933984, 'subsample': 0.2336091799647133, 'colsample_bytree': 0.7261132933532188, 'learning_rate': 0.6863017028806531, 'reg_alpha': 4.442857211838748, 'reg_lambda': 8.926479402977444}. Best is trial 37 with value: 0.8147043883985973.
Trial 227 finished with value: 0.6932700633007096 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.1594739378046781, 'subsample': 0.7812948622316798, 'colsample_bytree': 0.8258287891951095, 'learning_rate': 0.3210148981353713, 'reg_alpha': 0.00020634064777010766, 'reg_lambda': 0.00203082319906463}. Best is trial 37 with value: 0.8147043883985973.
Trial 238 finished with value: 0.6437507598352314 and parameters: {'max_depth': 9, 'min_child_weight': 1, 'gamma': 0.08401349781079193, 'subsample': 0.46908795804124004, 'colsample_bytree': 0.3840026094690038, 'learning_rate': 0.40122183640364795, 'reg_alpha': 0.03390439366008156, 'reg_lambda': 4.668723262391435}. Best is trial 37 with value: 0.8147043883985973.
Trial 256 finished with value: 0.7418459603322151 and parameters: {'max_depth': 3, 'min_child_weight': 4, 'gamma': 0.33213475275084925, 'subsample': 0.705499809668251, 'colsample_bytree': 0.29892748894161025, 'learning_rate': 0.6548610966655893, 'reg_alpha': 0.0013076157581159713, 'reg_lambda': 0.0021965451936722586}. Best is trial 37 with value: 0.8147043883985973.
Trial 262 finished with value: -62433.142040477986 and parameters: {'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.7390263866814768, 'subsample': 0.03662172822404752, 'colsample_bytree': 0.34791371351226974, 'learning_rate': 0.7220969151828504, 'reg_alpha': 1.8773634794538818, 'reg_lambda': 0.13038470814404454}. Best is trial 37 with value: 0.8147043883985973.
Trial 246 finished with value: 0.5514612698680389 and parameters: {'max_depth': 6, 'min_child_weight': 4, 'gamma': 0.08820815579445551, 'subsample': 0.5187558817552274, 'colsample_bytree': 0.8976940813194271, 'learning_rate': 0.31344443166923464, 'reg_alpha': 0.001529328809644803, 'reg_lambda': 0.00010554668204084314}. Best is trial 37 with value: 0.8147043883985973.
Trial 250 finished with value: 0.7300652849634692 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.053684498001451586, 'subsample': 0.5824441505858384, 'colsample_bytree': 0.15150382011001606, 'learning_rate': 0.4709903390387875, 'reg_alpha': 1.1625293131275185, 'reg_lambda': 0.7666164488800938}. Best is trial 37 with value: 0.8147043883985973.
Trial 247 finished with value: 0.6712782823544975 and parameters: {'max_depth': 10, 'min_child_weight': 3, 'gamma': 0.4623975238894581, 'subsample': 0.6861423253501463, 'colsample_bytree': 0.14245472727012054, 'learning_rate': 0.4434765273657141, 'reg_alpha': 0.00014637140027378372, 'reg_lambda': 0.00020341472932336777}. Best is trial 37 with value: 0.8147043883985973.
Trial 243 finished with value: 0.4573528570867289 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.661942755346692, 'subsample': 0.5176958847222044, 'colsample_bytree': 0.5319662436138429, 'learning_rate': 0.5860479982979666, 'reg_alpha': 0.0001345560537355222, 'reg_lambda': 0.0010578996132714485}. Best is trial 37 with value: 0.8147043883985973.
Trial 264 finished with value: -487.92444814879707 and parameters: {'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.2735859267757438, 'subsample': 0.11767921814475402, 'colsample_bytree': 0.6149848696152991, 'learning_rate': 0.7641405418039415, 'reg_alpha': 0.0008640179176882433, 'reg_lambda': 0.002311860800933632}. Best is trial 37 with value: 0.8147043883985973.
Trial 241 finished with value: 0.7464180411687316 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.6248023669753314, 'subsample': 0.6355865287710856, 'colsample_bytree': 0.6337666250358452, 'learning_rate': 0.03473344836793457, 'reg_alpha': 0.04018161494156676, 'reg_lambda': 0.020157979771418026}. Best is trial 37 with value: 0.8147043883985973.
Trial 253 finished with value: 0.39341654465290954 and parameters: {'max_depth': 6, 'min_child_weight': 4, 'gamma': 0.7368853730376803, 'subsample': 0.31008938252878493, 'colsample_bytree': 0.8668789434329846, 'learning_rate': 0.5094354921183809, 'reg_alpha': 0.004919648975048223, 'reg_lambda': 0.3284178019640147}. Best is trial 37 with value: 0.8147043883985973.
Trial 272 finished with value: 0.7541418199906479 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.4754063323597042, 'subsample': 0.2656211240043297, 'colsample_bytree': 0.5523026171621848, 'learning_rate': 0.25825511717521954, 'reg_alpha': 2.803787341426259, 'reg_lambda': 0.030753003372407883}. Best is trial 37 with value: 0.8147043883985973.
Trial 270 finished with value: 0.7374236562519567 and parameters: {'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.4416378110037742, 'subsample': 0.5502040014314347, 'colsample_bytree': 0.026579216593548116, 'learning_rate': 0.20639007696281353, 'reg_alpha': 0.003123860186833131, 'reg_lambda': 0.006588169165740791}. Best is trial 37 with value: 0.8147043883985973.
Trial 260 finished with value: 0.5447971974925057 and parameters: {'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.30231625535426354, 'subsample': 0.2708478730887668, 'colsample_bytree': 0.34826209360623595, 'learning_rate': 0.6051015593812252, 'reg_alpha': 0.0023802991669452105, 'reg_lambda': 0.6671749776336158}. Best is trial 37 with value: 0.8147043883985973.
Trial 271 finished with value: -5.743897428929553 and parameters: {'max_depth': 4, 'min_child_weight': 2, 'gamma': 0.872773202068705, 'subsample': 0.26144956951791076, 'colsample_bytree': 0.8783866871715612, 'learning_rate': 0.6924089109185891, 'reg_alpha': 0.0006334926650006999, 'reg_lambda': 0.019200071853868083}. Best is trial 37 with value: 0.8147043883985973.
Trial 280 finished with value: 0.6721556501977581 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'gamma': 0.47972615997891244, 'subsample': 0.1987535266892252, 'colsample_bytree': 0.35621369921229884, 'learning_rate': 0.7770558250455994, 'reg_alpha': 0.025043166446441806, 'reg_lambda': 4.824526001369272}. Best is trial 37 with value: 0.8147043883985973.
Trial 248 finished with value: 0.6354599298666133 and parameters: {'max_depth': 9, 'min_child_weight': 5, 'gamma': 0.34487714606476494, 'subsample': 0.8279306926662828, 'colsample_bytree': 0.8697372430406697, 'learning_rate': 0.5791316563491081, 'reg_alpha': 0.032861051799584096, 'reg_lambda': 0.1445560466458235}. Best is trial 37 with value: 0.8147043883985973.
Trial 269 finished with value: 0.7141531223372899 and parameters: {'max_depth': 6, 'min_child_weight': 2, 'gamma': 0.9934313934461351, 'subsample': 0.619819901514784, 'colsample_bytree': 0.24061627234356864, 'learning_rate': 0.2681085292508647, 'reg_alpha': 5.726285230354885, 'reg_lambda': 0.08338712481083528}. Best is trial 37 with value: 0.8147043883985973.
