A new study created in RDB with name: SVR_112239
Trial 7 finished with value: -0.016255323989742478 and parameters: {'kernel': 'rbf', 'epsilon': 0.05234613426421442, 'degree': 6, 'C': 0.0002812525792514806}. Best is trial 0 with value: 0.6945326075697137.
Trial 141 finished with value: 0.004627744440089043 and parameters: {'kernel': 'poly', 'epsilon': 0.327831678473144, 'degree': 5, 'C': 0.025476461324862257}. Best is trial 104 with value: 0.7347750474365431.
Trial 138 finished with value: 0.025130176416123605 and parameters: {'kernel': 'rbf', 'epsilon': 0.4275888640044976, 'degree': 4, 'C': 0.08532312269885561}. Best is trial 104 with value: 0.7347750474365431.
Trial 131 finished with value: 0.4828699854230897 and parameters: {'kernel': 'poly', 'epsilon': 0.017708281540492754, 'degree': 2, 'C': 1.9751548931260072}. Best is trial 104 with value: 0.7347750474365431.
Trial 140 finished with value: 0.11556455870284292 and parameters: {'kernel': 'rbf', 'epsilon': 0.09398912824503247, 'degree': 2, 'C': 0.2836745111681468}. Best is trial 104 with value: 0.7347750474365431.
Trial 143 finished with value: 0.4299072304687816 and parameters: {'kernel': 'poly', 'epsilon': 0.7010033999488743, 'degree': 6, 'C': 2.0941670976056668}. Best is trial 104 with value: 0.7347750474365431.
Trial 145 finished with value: 0.5360353727106146 and parameters: {'kernel': 'linear', 'epsilon': 0.11787946418721884, 'degree': 2, 'C': 0.08788425381719464}. Best is trial 104 with value: 0.7347750474365431.
Trial 144 finished with value: -0.011677855750030452 and parameters: {'kernel': 'poly', 'epsilon': 0.17081201117304956, 'degree': 2, 'C': 0.0086394566999004}. Best is trial 104 with value: 0.7347750474365431.
Trial 146 finished with value: 0.014212378966856532 and parameters: {'kernel': 'poly', 'epsilon': 0.11456498900832457, 'degree': 6, 'C': 0.03074990433239583}. Best is trial 104 with value: 0.7347750474365431.
Trial 154 finished with value: 0.03877296478166096 and parameters: {'kernel': 'poly', 'epsilon': 0.3617057824838893, 'degree': 6, 'C': 0.05802615306878498}. Best is trial 104 with value: 0.7347750474365431.
Trial 148 finished with value: -0.011136736637216127 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.633615721621904, 'degree': 6, 'C': 0.00745575505555264}. Best is trial 104 with value: 0.7347750474365431.
Trial 142 finished with value: 0.26066455414151635 and parameters: {'kernel': 'poly', 'epsilon': 0.5963935826582357, 'degree': 2, 'C': 0.7127348865659792}. Best is trial 104 with value: 0.7347750474365431.
Trial 152 finished with value: -0.009340560485728667 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.41061302746306927, 'degree': 5, 'C': 0.009727273554022697}. Best is trial 104 with value: 0.7347750474365431.
Trial 150 finished with value: -0.016021482010218035 and parameters: {'kernel': 'rbf', 'epsilon': 0.6798784536032632, 'degree': 3, 'C': 0.0012648298317777635}. Best is trial 104 with value: 0.7347750474365431.
Trial 149 finished with value: 0.45353537104322134 and parameters: {'kernel': 'linear', 'epsilon': 0.5399770097824795, 'degree': 3, 'C': 0.05298568269476792}. Best is trial 104 with value: 0.7347750474365431.
Trial 156 finished with value: 0.003170156710597971 and parameters: {'kernel': 'linear', 'epsilon': 0.30555457075979287, 'degree': 3, 'C': 0.0009750530703463743}. Best is trial 104 with value: 0.7347750474365431.
Trial 160 finished with value: 0.038264878364040376 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.5020068153701833, 'degree': 2, 'C': 0.07713067475029353}. Best is trial 104 with value: 0.7347750474365431.
Trial 147 finished with value: -0.01651408111130461 and parameters: {'kernel': 'rbf', 'epsilon': 0.6919284035758262, 'degree': 5, 'C': 0.000379860276081586}. Best is trial 104 with value: 0.7347750474365431.
Trial 153 finished with value: -0.016103328698435847 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.07134570656201156, 'degree': 6, 'C': 0.0004032445841804926}. Best is trial 104 with value: 0.7347750474365431.
Trial 151 finished with value: 0.5242514030429912 and parameters: {'kernel': 'poly', 'epsilon': 0.5703543228828516, 'degree': 2, 'C': 2.3930716328472257}. Best is trial 104 with value: 0.7347750474365431.
Trial 155 finished with value: 0.7126362380915584 and parameters: {'kernel': 'rbf', 'epsilon': 0.21477370669700313, 'degree': 6, 'C': 6.926788664270402}. Best is trial 104 with value: 0.7347750474365431.
Trial 167 finished with value: 0.5160016026873478 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.8950262626943587, 'degree': 4, 'C': 2.811911171672397}. Best is trial 104 with value: 0.7347750474365431.
Trial 161 finished with value: 0.27644424760047603 and parameters: {'kernel': 'rbf', 'epsilon': 0.6658665050947986, 'degree': 2, 'C': 0.7329579818026605}. Best is trial 104 with value: 0.7347750474365431.
Trial 162 finished with value: 0.7244563992126662 and parameters: {'kernel': 'linear', 'epsilon': 0.5013094878970877, 'degree': 5, 'C': 1.0333561033271752}. Best is trial 104 with value: 0.7347750474365431.
Trial 158 finished with value: 0.21110253635637535 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6144021207988638, 'degree': 3, 'C': 0.41215340719307314}. Best is trial 104 with value: 0.7347750474365431.
Trial 159 finished with value: 0.23001116164217983 and parameters: {'kernel': 'poly', 'epsilon': 0.972706111406225, 'degree': 3, 'C': 0.509335499971896}. Best is trial 104 with value: 0.7347750474365431.
Trial 163 finished with value: -0.013596239784791363 and parameters: {'kernel': 'linear', 'epsilon': 0.9779882644827472, 'degree': 4, 'C': 0.00018947149337235938}. Best is trial 104 with value: 0.7347750474365431.
Trial 171 finished with value: 0.6617245888527902 and parameters: {'kernel': 'linear', 'epsilon': 0.11174986111747076, 'degree': 3, 'C': 0.2215276175008291}. Best is trial 104 with value: 0.7347750474365431.
Trial 165 finished with value: 0.2990003310070475 and parameters: {'kernel': 'linear', 'epsilon': 0.8399636969113371, 'degree': 2, 'C': 0.023899343244805495}. Best is trial 104 with value: 0.7347750474365431.
Trial 175 finished with value: 0.7133068907321782 and parameters: {'kernel': 'linear', 'epsilon': 0.7560514837650546, 'degree': 5, 'C': 0.637002525091005}. Best is trial 104 with value: 0.7347750474365431.
Trial 169 finished with value: 0.1450177177632006 and parameters: {'kernel': 'rbf', 'epsilon': 0.13042288964524307, 'degree': 4, 'C': 0.35830902168146617}. Best is trial 104 with value: 0.7347750474365431.
Trial 157 finished with value: 0.059729212735926386 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.4070280199939912, 'degree': 6, 'C': 0.11004315205230147}. Best is trial 104 with value: 0.7347750474365431.
Trial 176 finished with value: 0.18735281432010886 and parameters: {'kernel': 'poly', 'epsilon': 0.05623607604445713, 'degree': 4, 'C': 0.40627666670471213}. Best is trial 104 with value: 0.7347750474365431.
Trial 166 finished with value: -0.004875591238596144 and parameters: {'kernel': 'linear', 'epsilon': 0.17829614262063964, 'degree': 3, 'C': 0.0005631704271707853}. Best is trial 104 with value: 0.7347750474365431.
Trial 170 finished with value: 0.6720091932745664 and parameters: {'kernel': 'poly', 'epsilon': 0.14209525651935684, 'degree': 3, 'C': 6.23856980777521}. Best is trial 104 with value: 0.7347750474365431.
Trial 172 finished with value: 0.017054576259577948 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.4329074176865142, 'degree': 2, 'C': 0.04663976364963433}. Best is trial 104 with value: 0.7347750474365431.
Trial 177 finished with value: -0.013312507312333266 and parameters: {'kernel': 'linear', 'epsilon': 0.8677422685989538, 'degree': 2, 'C': 0.00019056095157270674}. Best is trial 104 with value: 0.7347750474365431.
Trial 168 finished with value: 0.14481077828832886 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.9700258065584446, 'degree': 2, 'C': 0.2605794281201654}. Best is trial 104 with value: 0.7347750474365431.
Trial 182 finished with value: -0.013830793213483484 and parameters: {'kernel': 'linear', 'epsilon': 0.18969947953942312, 'degree': 6, 'C': 0.00012813486150752582}. Best is trial 104 with value: 0.7347750474365431.
Trial 178 finished with value: 0.7341315984337539 and parameters: {'kernel': 'linear', 'epsilon': 0.06489412148375262, 'degree': 6, 'C': 6.240998783279581}. Best is trial 104 with value: 0.7347750474365431.
Trial 173 finished with value: 0.20065389483718485 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.7304320135728665, 'degree': 2, 'C': 0.3857725159622323}. Best is trial 104 with value: 0.7347750474365431.
Trial 180 finished with value: 0.7327291727374329 and parameters: {'kernel': 'linear', 'epsilon': 0.4767212663527465, 'degree': 2, 'C': 1.9090551793862955}. Best is trial 104 with value: 0.7347750474365431.
Trial 164 finished with value: -0.01620910039270044 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.46065580942551176, 'degree': 6, 'C': 0.00012530882010084832}. Best is trial 104 with value: 0.7347750474365431.
Trial 181 finished with value: -0.016141964734204817 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.39783532876084127, 'degree': 2, 'C': 0.0002554192441201745}. Best is trial 104 with value: 0.7347750474365431.
Trial 191 finished with value: 0.6241564441019349 and parameters: {'kernel': 'poly', 'epsilon': 0.7610375544100363, 'degree': 4, 'C': 5.544377208338553}. Best is trial 104 with value: 0.7347750474365431.
Trial 189 finished with value: 0.3881054589309294 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.39924487326031777, 'degree': 4, 'C': 1.212059358338624}. Best is trial 104 with value: 0.7347750474365431.
Trial 179 finished with value: -0.016621505578157825 and parameters: {'kernel': 'rbf', 'epsilon': 0.8005276142896767, 'degree': 6, 'C': 0.0006611815921679458}. Best is trial 104 with value: 0.7347750474365431.
Trial 190 finished with value: -0.00018301117049539516 and parameters: {'kernel': 'rbf', 'epsilon': 0.4900476339404485, 'degree': 4, 'C': 0.033563361347231355}. Best is trial 104 with value: 0.7347750474365431.
Trial 196 finished with value: 0.1558489235403629 and parameters: {'kernel': 'poly', 'epsilon': 0.33296860453500643, 'degree': 4, 'C': 0.31910925363375786}. Best is trial 104 with value: 0.7347750474365431.
Trial 194 finished with value: -0.0017210671802637134 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.9060149705718934, 'degree': 3, 'C': 0.0202249666297266}. Best is trial 104 with value: 0.7347750474365431.
Trial 193 finished with value: -0.016398376106476896 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.2071840409335719, 'degree': 2, 'C': 0.00011264135107432736}. Best is trial 104 with value: 0.7347750474365431.
Trial 174 finished with value: -0.013663257049601718 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.46218874946824273, 'degree': 2, 'C': 0.0036697562339093083}. Best is trial 104 with value: 0.7347750474365431.
Trial 184 finished with value: 0.007458448742665024 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.5187113631629783, 'degree': 5, 'C': 0.03299124483829594}. Best is trial 104 with value: 0.7347750474365431.
Trial 183 finished with value: 0.036690317972441024 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.49123364746702614, 'degree': 2, 'C': 0.07469492041303132}. Best is trial 104 with value: 0.7347750474365431.
Trial 188 finished with value: 0.733888690475266 and parameters: {'kernel': 'linear', 'epsilon': 0.18632934737313744, 'degree': 3, 'C': 5.167392128088105}. Best is trial 104 with value: 0.7347750474365431.
Trial 186 finished with value: -0.011511765440841348 and parameters: {'kernel': 'rbf', 'epsilon': 0.5027011460730169, 'degree': 3, 'C': 0.009805865530009773}. Best is trial 104 with value: 0.7347750474365431.
Trial 185 finished with value: -0.010933067084789406 and parameters: {'kernel': 'poly', 'epsilon': 0.6337534279617665, 'degree': 4, 'C': 0.008070863164760017}. Best is trial 104 with value: 0.7347750474365431.
Trial 198 finished with value: 0.022352613277312073 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6816445526265954, 'degree': 6, 'C': 0.05409624023539791}. Best is trial 104 with value: 0.7347750474365431.
Trial 199 finished with value: 0.04183778084668797 and parameters: {'kernel': 'linear', 'epsilon': 0.8571370761706959, 'degree': 4, 'C': 0.003053210405031719}. Best is trial 104 with value: 0.7347750474365431.
Trial 197 finished with value: 0.2832138159974965 and parameters: {'kernel': 'poly', 'epsilon': 0.7404923762525606, 'degree': 3, 'C': 0.6930698798164734}. Best is trial 104 with value: 0.7347750474365431.
Trial 195 finished with value: 0.04916430236802175 and parameters: {'kernel': 'linear', 'epsilon': 0.0520648648372235, 'degree': 3, 'C': 0.0033821967633874584}. Best is trial 104 with value: 0.7347750474365431.
Trial 187 finished with value: 0.3054787132190966 and parameters: {'kernel': 'rbf', 'epsilon': 0.14114752626086335, 'degree': 3, 'C': 0.823980180347956}. Best is trial 104 with value: 0.7347750474365431.
Trial 192 finished with value: -0.0025282432002451615 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.459752456715116, 'degree': 6, 'C': 0.01937551822755623}. Best is trial 104 with value: 0.7347750474365431.
